tid,time_ms,event,value,explain
2012278784,357598102,middle_task_8,9,end_after_ms
2011705344,357598110,middle_task_7,17,end_after_ms
2012278784,357598114,exit_task_1,12,end_after_ms
2012852224,357598115,middle_task_9,35,end_after_ms
2012278784,357598122,sensor_task_4,8,end_after_ms
2012852224,357598124,middle_task_12,9,end_after_ms
2011131904,357598129,middle_task_10,41,end_after_ms
2011705344,357598129,middle_task_11,19,end_after_ms
2012852224,357598137,sensor_task_4,13,end_after_ms
2011131904,357598137,sensor_task_4,8,end_after_ms
2011705344,357598137,sensor_task_4,8,end_after_ms
2012852224,357598145,sensor_task_4,8,end_after_ms
2011705344,357598145,sensor_task_4,8,end_after_ms
2012852224,357598153,sensor_task_4,8,end_after_ms
2011705344,357598173,middle_task_6,28,end_after_ms
2012278784,357598173,middle_task_6,51,end_after_ms
2012852224,357598173,middle_task_6,20,end_after_ms
2011131904,357598173,middle_task_6,36,end_after_ms
2012278784,357598176,sensor_task_3,3,end_after_ms
2012852224,357598176,sensor_task_3,3,end_after_ms
2011131904,357598192,middle_task_11,19,end_after_ms
2011705344,357598192,middle_task_11,19,end_after_ms
2011705344,357598200,sensor_task_4,8,end_after_ms
2011131904,357598200,sensor_task_4,8,end_after_ms
2011705344,357598212,sensor_task_2,12,end_after_ms
2012278784,357598214,middle_task_4,38,end_after_ms
2011131904,357598220,middle_task_6,20,end_after_ms
2012278784,357598222,sensor_task_4,8,end_after_ms
2012852224,357598225,middle_task_5,49,end_after_ms
2011705344,357598235,middle_task_3,23,end_after_ms
2011131904,357598239,middle_task_11,19,end_after_ms
2012278784,357598242,middle_task_6,20,end_after_ms
2011131904,357598247,sensor_task_4,8,end_after_ms
2012852224,357598260,middle_task_9,35,end_after_ms
2012278784,357598261,middle_task_11,19,end_after_ms
2012278784,357598264,sensor_task_3,3,end_after_ms
2011131904,357598267,middle_task_6,20,end_after_ms
2012852224,357598269,middle_task_12,9,end_after_ms
2011705344,357598276,middle_task_10,41,end_after_ms
2011705344,357598284,sensor_task_4,8,end_after_ms
2011131904,357598286,middle_task_11,19,end_after_ms
2011131904,357598294,sensor_task_4,8,end_after_ms
2012278784,357598302,middle_task_4,38,end_after_ms
2012278784,357598310,sensor_task_4,8,end_after_ms
2012852224,357598318,middle_task_5,49,end_after_ms
2011131904,357598330,middle_task_6,35,end_after_ms
2011705344,357598330,middle_task_6,46,end_after_ms
2012278784,357598330,middle_task_6,20,end_after_ms
2012278784,357598338,sensor_task_4,8,end_after_ms
2011705344,357598349,middle_task_11,19,end_after_ms
2012852224,357598353,middle_task_9,35,end_after_ms
2011705344,357598356,sensor_task_1,7,end_after_ms
2012278784,357598358,middle_task_6,20,end_after_ms
2012852224,357598362,middle_task_12,9,end_after_ms
2011131904,357598371,middle_task_10,41,end_after_ms
2011131904,357598374,sensor_task_3,3,end_after_ms
2012278784,357598377,middle_task_11,19,end_after_ms
2011705344,357598389,middle_task_1,33,end_after_ms
2011705344,357598397,sensor_task_4,8,end_after_ms
